"year","avg_vol"
2002,0.000405326740461127
2003,0.000153659999243182
2004,3.52634561110181e-05
2005,6.24179338424014e-06
2006,4.63375300448138e-06
2007,1.84547370121558e-05
2008,0.000970769537117042
2009,0.000582814183396246
2010,6.59250452903136e-05
2011,0.000262298719569084
2012,0.000493203892109982
2013,0.000264016956283159
2014,0.00261171354136509
2015,0.00649696515429681
2016,0.000580065686123905
2017,0.00110762618745624
2018,0.000359858448042968
2019,0.00370622416360623
2020,0.00150143025850897
2002,0.000787067218860858
2003,0.000382482978474386
2004,0.148566315959408
2005,0.00319096886593592
2006,0.00212167278930865
2007,0.0500593203738528
2008,0.000823254623662187
2009,0.00102120556324856
2010,0.00319468663020709
2011,0.0068991853956771
2012,0.00110884468615341
2013,0.000584779469162673
2014,0.00048363372741929
2015,0.000429795068456198
2016,0.00255630910342734
2017,0.000673581563451746
2018,0.000186539584134389
2019,0.000162689197144592
2020,0.000555554512790702
2002,0.00252958768879568
2003,0.0069065600522441
2004,0.00177852486579037
2005,0.000822314134687814
2006,0.000646325451150734
2007,0.00594362405795971
2008,0.00632262601075837
2009,0.00160415001586825
2010,0.00200873238888957
2011,0.00098248665896833
2012,0.00403424773471494
2013,0.01109911916222
2014,0.00400430618600638
2015,0.00225408057134401
2016,0.00105133241716777
2017,0.000767166251100729
2018,0.000634145744809557
2019,0.000406950563657753
2020,0.000351428043113706
2002,0.000455330220073551
2003,0.000458039311405234
2004,0.00049048249078555
2005,0.000478595879709845
2006,0.000443458680808023
2007,0.000396454559587749
2008,0.000476964387823007
2009,0.000757659564085957
2010,0.000637187754963641
2011,0.000653212817454547
2012,0.000520188940070144
2013,0.000419161787297135
2014,0.000334401744562386
2015,0.000457098556039466
2016,0.000433633540022571
2017,0.000336371883611796
2018,0.000294075491806307
2019,0.000224919769177102
2020,0.000221519734418465
2002,0.000275425641176788
2003,0.00243764315217224
2004,0.000784036172219898
2005,0.00163202234121265
2006,0.00123787854017986
2007,0.000999655308349046
2008,0.00906071653865465
2009,0.00121136284797354
2010,0.00107445916152386
2011,0.00423440127639866
2012,0.00312535840560948
2013,0.00111584739221018
2014,0.000455143661333554
2015,0.00167881930276324
2016,0.000423909337487909
2017,0.000470429976801225
2018,0.000373717265575994
2019,0.000654435864051474
2020,0.00181584752955607
2002,0.000863884523328761
2003,0.000781921636313822
2004,0.00378708769525908
2005,0.00111726626387447
2006,0.000479011525017513
2007,0.000727616505003134
2008,0.000945238932261127
2009,0.00104588429348779
2010,0.00132711617444034
2011,0.000868387249684715
2012,0.000775472322923558
2013,0.000473379253415232
2014,0.000398498530944552
2015,0.00105168919920805
2016,0.00079371945213742
2017,0.00121642891890441
2018,0.000560840371075796
2019,0.000490005615220821
2020,0.000335153672408569
